Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,7,16,2,DL,13487,14747,2155,-1,0,2336,5,0,0
2013,7,16,2,DL,12889,13487,1555,-6,0,2057,-7,0,0
2013,7,16,2,DL,11278,10397,1600,-5,0,1752,-19,0,0
2013,7,16,2,DL,13851,10397,600,-3,0,904,4,0,0
2013,7,16,2,DL,14747,12478,2330,49,1,736,40,1,0
2013,7,16,2,DL,12478,14747,1735,-4,0,2108,-41,0,0
2013,7,16,2,DL,15016,13487,1656,33,1,1831,17,1,0
2013,7,16,2,DL,11278,11433,659,-7,0,837,-28,0,0
2013,7,16,2,DL,10397,14107,805,-2,0,859,-25,0,0
2013,7,16,2,DL,14107,10397,1005,-6,0,1650,-8,0,0
2013,7,16,2,DL,12953,10397,700,112,1,930,108,1,0
2013,7,16,2,DL,11433,12953,1725,,,1914,,1,1
2013,7,16,2,DL,13495,12892,720,,,917,,1,1
2013,7,16,2,DL,12889,13487,720,0,0,1222,-7,0,0
2013,7,16,2,DL,13487,12889,1750,-9,0,1911,-26,0,0
2013,7,16,2,DL,12889,12892,620,-1,0,730,-5,0,0
2013,7,16,2,DL,12889,10397,715,-7,0,1415,-1,0,0
2013,7,16,2,DL,10397,12892,940,-2,0,1110,-11,0,0
2013,7,16,2,DL,15304,10397,1445,-5,0,1615,-5,0,0
2013,7,16,2,DL,14869,14747,2155,-5,0,2300,31,1,0
2013,7,16,2,DL,15304,12892,1930,-8,0,2125,-17,0,0
2013,7,16,2,DL,13487,12892,1135,2,0,1321,-17,0,0
2013,7,16,2,DL,12892,12173,1442,4,0,1723,2,0,0
2013,7,16,2,DL,11433,10529,720,-4,0,900,-9,0,0
2013,7,16,2,DL,10529,11433,941,-4,0,1129,-12,0,0
2013,7,16,2,DL,10397,14100,1117,-4,0,1320,-5,0,0
2013,7,16,2,DL,14100,10397,1415,-5,0,1616,-12,0,0
2013,7,16,2,DL,14869,13487,2016,6,0,2346,0,0,0
2013,7,16,2,DL,13495,11433,1100,-3,0,1432,2,0,0
2013,7,16,2,DL,10397,14492,1246,-2,0,1408,-11,0,0
2013,7,16,2,DL,14492,10397,1449,-4,0,1614,-17,0,0
2013,7,16,2,DL,12478,14771,1359,-4,0,1724,-57,0,0
2013,7,16,2,DL,12892,14492,2200,-3,0,553,12,0,0
2013,7,16,2,DL,10397,14679,1916,0,0,2047,-21,0,0
2013,7,16,2,DL,12892,13487,1830,1,0,2354,16,1,0
2013,7,16,2,DL,10397,15016,1016,7,0,1049,12,0,0
2013,7,16,2,DL,15016,10397,1135,10,0,1412,9,0,0
2013,7,16,2,DL,10397,15304,735,-3,0,900,0,0,0
2013,7,16,2,DL,15304,10397,945,-3,0,1116,-8,0,0
2013,7,16,2,DL,10693,12892,1715,25,1,1925,12,0,0
2013,7,16,2,DL,13204,13487,800,-1,0,1027,-12,0,0
2013,7,16,2,DL,12339,10397,705,0,0,838,13,0,0
2013,7,16,2,DL,14057,10397,2230,4,0,600,37,1,0
2013,7,16,2,DL,12892,12889,1315,4,0,1434,-6,0,0
2013,7,16,2,DL,12889,12892,1510,-2,0,1621,3,0,0
2013,7,16,2,DL,11292,10397,1030,-2,0,1522,7,0,0
2013,7,16,2,DL,11433,14747,1730,25,1,1922,17,1,0
2013,7,16,2,DL,14747,10299,2015,16,1,2245,4,0,0
2013,7,16,2,DL,10397,12889,1755,1,0,1912,-23,0,0
2013,7,16,2,DL,13487,11618,1325,1,0,1711,10,0,0
2013,7,16,2,DL,10397,13871,1528,-3,0,1655,-16,0,0
2013,7,16,2,DL,11433,13342,830,-4,0,842,-14,0,0
2013,7,16,2,DL,13342,11433,917,-6,0,1130,-20,0,0
2013,7,16,2,DL,12191,10397,700,-4,0,1000,9,0,0
2013,7,16,2,DL,12953,13204,1759,23,1,2106,7,0,0
2013,7,16,2,DL,10397,12953,745,-3,0,1004,12,0,0
2013,7,16,2,DL,10397,13198,1905,3,0,2014,-15,0,0
2013,7,16,2,DL,11697,10397,1123,-1,0,1319,2,0,0
2013,7,16,2,DL,12266,10397,825,-8,0,1128,-17,0,0
2013,7,16,2,DL,11057,10397,830,-5,0,952,-2,0,0
2013,7,16,2,DL,14679,10397,645,-2,0,1404,13,0,0
2013,7,16,2,DL,13487,14057,1425,1,0,1601,-19,0,0
2013,7,16,2,DL,13487,12953,1925,3,0,2307,-4,0,0
2013,7,16,2,DL,14100,13487,615,49,1,801,31,1,0
2013,7,16,2,DL,11433,13342,1205,-4,0,1214,-6,0,0
2013,7,16,2,DL,10397,14122,1037,-3,0,1219,-3,0,0
2013,7,16,2,DL,10397,10721,729,-1,0,1007,-5,0,0
2013,7,16,2,DL,10721,10397,1445,-9,0,1725,-11,0,0
2013,7,16,2,DL,12889,10397,600,-3,0,1258,-2,0,0
2013,7,16,2,DL,11433,11697,735,-7,0,1030,-10,0,0
2013,7,16,2,DL,11697,11433,1120,-5,0,1426,11,0,0
2013,7,16,2,DL,13232,10397,1650,-2,0,1945,7,0,0
2013,7,16,2,DL,13487,11292,730,-7,0,832,-17,0,0
2013,7,16,2,DL,11292,13487,915,-7,0,1212,-15,0,0
2013,7,16,2,DL,13487,11292,1431,-2,0,1535,-11,0,0
2013,7,16,2,DL,11292,11433,810,-4,0,1259,4,0,0
2013,7,16,2,DL,11298,14869,830,-1,0,1014,-12,0,0
2013,7,16,2,DL,12266,14869,800,3,0,1006,-4,0,0
2013,7,16,2,DL,10397,12339,1200,1,0,1330,-13,0,0
2013,7,16,2,DL,12339,10397,1410,-2,0,1544,1,0,0
2013,7,16,2,DL,14869,12266,2005,-1,0,4,-2,0,0
2013,7,16,2,DL,10397,10140,1840,0,0,1958,-25,0,0
2013,7,16,2,DL,13204,10397,720,-3,0,854,-3,0,0
2013,7,16,2,DL,12953,13487,1615,-5,0,1831,0,0,0
