Year,Month,Day,AirportID,Time,TimeZone,SkyCondition,Visibility,WeatherType,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,ValueForWindCharacter,StationPressure,PressureTendency,PressureChange,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
2013,7,1,14843,56,-4,FEW020 SCT035,10,,78,25.6,75,23.6,73,22.8,85,0,0,,30.01,,,30.01,AA,,30.02
2013,7,1,14843,156,-4,FEW035,10,,78,25.6,74,23.2,72,22.2,82,0,0,,29.99,,,30,AA,,30
2013,7,1,14843,256,-4,FEW050,10,,78,25.6,75,23.6,73,22.8,85,0,0,,29.99,,,30,AA,,30
2013,7,1,14843,356,-4,FEW055 SCT070,10,,78,25.6,75,23.6,73,22.8,85,0,0,,29.99,,,30,AA,,30
2013,7,1,14843,456,-4,FEW050,10,,77,25,74,23.4,73,22.8,88,0,0,,30,,,30.01,AA,,30.01
2013,7,1,14843,556,-4,FEW025 SCT065,10,,78,25.6,75,23.6,73,22.8,85,0,0,,30.03,,,30.03,AA,,30.04
2013,7,1,14843,656,-4,FEW025 SCT042 SCT065,10,,78,25.6,75,24,74,23.3,88,5,90,,30.05,,,30.05,AA,,30.06
2013,7,1,14843,756,-4,FEW034 SCT044 SCT065,10,,81,27.2,77,24.8,75,23.9,82,5,110,,30.05,,,30.06,AA,,30.06
2013,7,1,14843,856,-4,FEW034 SCT045 SCT070,9,,85,29.4,77,25.1,74,23.3,70,14,100,20,30.05,,,30.06,AA,,30.06
2013,7,1,14843,956,-4,FEW022 SCT032,9,,86,30,78,25.6,75,23.9,70,13,80,,30.06,,,30.06,AA,,30.07
2013,7,1,14843,1056,-4,FEW025 SCT032,9,,87,30.6,78,25.8,75,23.9,68,18,80,24,30.06,,,30.07,AA,,30.07
2013,7,1,14843,1156,-4,SCT025 SCT032CB BKN050,9,TS,84,28.9,77,25,74,23.3,72,13,110,,30.07,,,30.07,AA,T,30.08
2013,7,1,14843,1215,-4,SCT025 SCT038 BKN055,9,,84,29,76,24.6,73,23,70,14,90,21,30.07,,,M,SP,,30.08
2013,7,1,14843,1256,-4,FEW025 SCT035 BKN075,7,=-RA,81,27.2,77,24.8,75,23.9,82,5,150,17,30.07,,,30.07,AA,0.16,30.08
2013,7,1,14843,1356,-4,SCT028 SCT040 BKN080,9,,83,28.3,76,24.4,73,22.8,72,6,150,,30.04,,,30.05,AA,0.01,30.05
2013,7,1,14843,1456,-4,FEW038 SCT060 BKN110,9,,84,28.9,77,24.9,74,23.3,72,10,100,,30.03,,,30.04,AA,,30.04
2013,7,1,14843,1556,-4,FEW036 SCT070 BKN110,9,,83,28.3,76,24.4,73,22.8,72,13,90,,30.03,,,30.03,AA,,30.04
2013,7,1,14843,1656,-4,FEW042 BKN100,9,,83,28.3,77,24.8,74,23.3,74,13,80,,30.03,,,30.03,AA,,30.04
